"id","body","ideaId","authorId","parentId","createdAt","updatedAt","deleted"
1,"looking good",13,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63",,"2023-02-25 00:18:08.236","2023-02-25 00:18:08.236",FALSE
2,"Test",15,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9",,"2023-02-26 12:58:14.425","2023-02-26 12:58:14.425",FALSE
3,"Test fix",15,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9",2,"2023-02-26 14:09:43.55","2023-02-26 14:09:43.55",FALSE
4,"👍",575,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9",,"2023-09-11 14:31:55.146","2023-09-11 14:31:59.614",TRUE
5,"- public good ✅
- weird ✅
- graduation of a past lil builder ✅

I'm for it. ",1,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183",,"2023-09-11 19:05:39.209","2023-09-11 19:05:39.209",FALSE
6,"Education marketing and Outreach ++ 

""training sessions, and workshops."" -> I dont see this as something people will attend. 

$15 price point has value. 

",4,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-09-14 12:38:44.765","2023-09-14 12:38:44.765",FALSE
588,"Fully support this!",355,"0x9c57027B1eca93093a6F446422C59C85A5A3Fa52",,"2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",FALSE
589,"agreed we should step up the AutoBidder -- working on this now, prop incoming",351,"0xe412186A1865c4fE54A79e0AdcB08b81233DF674",,"2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",FALSE
590,"Let's write a good prop. where ETH lands it lands. LFG! ",354,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",FALSE
591,"I like the idea as I am a fan of both your work and gm's in general.",348,"0xE2fc3af0FAeEE9c340f0BCf06CB7d5Bba34122e4",,"2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",FALSE
592,"I would like to heavily agree on this prop. Going to ETH Denver and meeting Bloomz, I am now a Lil Noun holder as well it being my first ETH NFT. I will be attending NFT NYC with my project and would like to also collab with lil nouns at one of our events. ",361,"0x060f292281784B5176F2668277e00513cbB4c2CB",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
593,"add “inviting guests to prop culture” as one of the qualifiers to lil reps members compensation. doesn’t matter how guests they invite, just that they do. ",376,"0x8C868aB6EA5aA8BF37F58376f0A61c3728aEf904",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
594,"Great questions…. NOUNSOTG is not going to be there from what I know, but some of the NounsAU crew are going, I reached out to Mr. Boney to see if they would want to collab so it’s a Nouns & Lil Nouns presence, thinking of ideas…. Also reached out to Goldy to see about getting some of the left over Noggles shirts from NFT Fest Aus so we could have some to pass out. He’s going to get back to me Monday with inventory counts of what’s left.   I haven’t spoke to Gami yet so I’m not sure if he’s coming, but my 2 mates who would help me with the booth are in the Gnars community so Gnars would be represented but may not be sponsoring. Shan is going to be a speaker there as well (he has 2 Nouns & his own NFT project) so lots of Nouns energy there. ",357,"0x073f0DC58e9989C827bA5b7b35570B7315652e63",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
595,"https://i.postimg.cc/VvYnqwr5/image.png",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
596,"easy yes, thanks for bringing it up",359,"0xdcf37d8Aa17142f053AAA7dc56025aB00D897a19",,"2023-05-13 23:59:27.871","2023-05-13 23:59:27.871",FALSE
597,"Will NOUNSOTG be there?  Gnars?  I think a presence is a great idea. unsure if booth is the way, but if we are into sponsoring ... NFT Paris and ETH Denver will have a lot to offer on interactions and what drives engagement. Like where your head is. just always wonder if a more cohesive and collaborative process is better suited to mass proliferate. Im mostly a yes. ",357,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
598,"[url=https://postimg.cc/62m8KDhN][img]https://i.postimg.cc/62m8KDhN/image.png[/img][/url]",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
599,"<a href='https://postimg.cc/62m8KDhN' target='_blank'><img src='https://i.postimg.cc/62m8KDhN/image.png' border='0' alt='image'/></a>",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
600,"community member can be in or outside of Lil Nouns  I m suggesting only lilnoun holders",367,"0x5d30EA6d8EB2b0C2Fa58B0Df9d023CcecA847893",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
601,"[![image.png](https://i.postimg.cc/VvYnqwr5/image.png)](https://postimg.cc/62m8KDhN)",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
602,"For continuity:  QUALIFICATION MATRIX!  - (better wording?) A monthly review period(Final 3 Days of each month?) by the Lil Reps CURRENT Team where Retro compensation is determined, exits by current members are declared, and new entrant reviews are undertaken and approved where applicable STARTING 1st of the NEXT MONTH - Ledgers will be updated. OK SO WE NEED A LEDGER - Dont think part 3 is necessary, but can discuss with reps.   - I dont follow the first statement, but there will be items that are necessary to be involved. workshopping that now. (or next) - I think Lil Reps must come from within Lil Reps...    ",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
603,"General read from Motion is : Nouncil Flywheel 1eth TOTAL COMP Refer to Prop Lot 110 for details Possibly commemorative NFT : POAP or artwork. ",379,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.871","2023-05-13 23:59:27.871",FALSE
604,"Main thinkings on this after a little deeper thought.   1) Working on quantifying ""effort"" right now. for next. and probably close to last iteration 2) I think we Cap pay per area as opposed to per person.  3) Price continues to come up as a potential issue, however this is the 3rd (4th , 5th? ) Iteration. I don't agree we are in ""test"" mode. This shown as a more clear focus IMO. It will be considered in re-write though.  Thanks for the comments and engagement! ",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
605,"Clarification: NEW PATH IN FUNDING. not ON TOP of previous 3 lils per and 2 eth for spaces.   1 lil per and 3 eth TOTAL to co-ordinape among the reps.   the only thing that needs to scale and is unsustainable at present is the Lil's co-ordinape round is static. too hi, maybe. but static. ",379,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.871","2023-05-13 23:59:27.871",FALSE
606,"Agree. thanks. you know the fine details aren't my strong suit ;) as above. rewrap. re-talk and repost! ",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
607,"thanks. Ill simmer on this and re wrap with the crew. good stuff.",376,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,"2023-05-13 23:59:27.87","2023-05-13 23:59:27.87",FALSE
