"id","createdAt","updatedAt","title","tldr","description","creatorId","communityId","tokenSupplyOnCreate","deleted","createdAtBlock","legacyLockedScore"
644,"2024-03-05 03:05:55.927","2024-03-05 03:05:55.927","Delegate our Noun via Prop.House Rounds","Let's delegate our Noun to someone who really want to vote or participate in Nouns governance via Prop.House rounds and bring more exposure to Lils through the round. ","Let's delegate our Noun to someone who really want to vote or participate in Nouns governance via Prop.House rounds and bring more exposure to Lils through the round. I honestly don't know how these guys have spent so much on voting all these years. Shout out to everyone who has spent all their eth on voting for lils and likely never been refunded by the MS :Shrug: 

Go check out snapshot, no one is really voting... I think its best if we delegate to someone who is willing to keep up: 

- Delegate on a 3-month basis.
- Delegation must be used to vote on Nouns props (with a 70% voting record or more after starting).
- We launch a round every 3 months to re-delegate the Noun.
- No other requirements besides being Lil Nouns delegate and representing the DAO for us all for a few months!
- We can always launch another prop to un-delegate if we want to start to vote again as a dao. ","0xFC538FFD2923ddDaED09c8aD1a51686275C56183",3,7189,FALSE,19366167,0
643,"2024-02-23 13:07:51.499","2024-02-23 13:07:51.499","Fund some Lil Noun LEGOs via Lil Brickz","Mint enough Lil Brickz tokens to reach the next milestone (25-200), use a prop house round to let Lil Nouners submit a Lil they'd like to see in lego form, and end up having 5 to 40 amazing new lil noun lego designs!","Lil Brickz is a 250 piece deriv of Lil Nouns with unique art created by Zylag (me!). Every 5 tokens minted funds 1 commission for turning a lil noun into lego form. So far we've had 10 builds created → https://zylageth.gumroad.com/l/lilnouns and https://zylageth.gumroad.com/l/lilbrickz2

The commissions have been batched in 5s, so using dao funds to mint 25 tokens would allow for 5 more builds, but it doesn't have to stop there!
25 tokens - 0,3125 eth → 5 builds
50 tokens - 0,625 eth → 10 builds
200 tokens - 2,5 eth → 40 builds

lmk what you think!","0x3CEb1AE4796f6A9BcD825841a6C86e1cE17B46A4",3,7189,FALSE,19290484,0
642,"2024-01-02 18:52:59.684","2024-01-02 18:52:59.684","Delegate Lils’ Noun to Lil Nouncil","alleviate governance burden, sufficiently decentralize the DAO, and empower community","in order to alleviate the governance burden on the League of Lils, empower the community, and sufficiently decentralize Lil Nouns’ governance structure, this proposal is to delegate the Noun and any future Nouns that Lil Nouns may acquire to the Lil Nouncil","0xc6a39E2f9A7626612292AD56e76d738DB43596E4",3,7183,FALSE,18921599,0
641,"2023-12-31 20:08:22.705","2023-12-31 20:08:22.705","Stake 272 Eth (50%) to RocketPool","This is a proposal to stake 272 Eth (50%) to Rocket Pool","### Proposed Transactions: 
0xae78736cd615f374d3085123a210448e74fc6393.submit{ value: 272.0 ETH }(  0x0000000000000000000000000000000000000000 )","0xc6a39E2f9A7626612292AD56e76d738DB43596E4",3,7182,FALSE,18907738,0
640,"2023-12-31 20:07:08.673","2023-12-31 20:07:08.673","Stake 408E (75%) to RocketPool","This is a proposal to stake 408E (75%) to Rocket Pool","### Proposed Transactions: 
0xae78736cd615f374d3085123a210448e74fc6393.submit{ value: 408.0 ETH }(  0x0000000000000000000000000000000000000000 )","0xc6a39E2f9A7626612292AD56e76d738DB43596E4",3,7182,FALSE,18907732,0
639,"2023-12-31 19:23:32.762","2023-12-31 19:23:32.762","Stake 525 Eth to RocketPool","This is a proposal to stake 525 E to Rocket Pool","Proposed Transactions
0xae78736cd615f374d3085123a210448e74fc6393.submit{ value: 525.0 ETH }(
 0x0000000000000000000000000000000000000000
)","0xc6a39E2f9A7626612292AD56e76d738DB43596E4",3,7182,FALSE,18907519,0
638,"2023-12-31 15:25:42.798","2023-12-31 15:25:42.798","Consider Federation and VRGDA as Abandonware","Consider abandoning these projects and blacklisting involved individuals for future compensation or funding.","As a suggestion, it may be wise to consider these projects abandoned and blacklist any individuals involved for future compensation or funding their projects. 

It appears that DAO has been waiting for months for a response from the contributors of these projects. However, it seems that they have been abandoned. 

","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7182,FALSE,18906339,0
637,"2023-12-30 05:31:03.626","2023-12-30 05:31:03.626","Transfer Lil Nouns DAO Veto Power to Lil Nouncil","I am proposing a shift of DAO veto power from one person to Lil Council for broader, democratic governance.","This aligns with our ethos of decentralization, leveraging diverse insights for balanced decisions. Lil Nouncil's proven effectiveness mitigates concerns about efficiency. Let's discuss this openly and vote to strengthen our DAO's democratic foundation.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7182,FALSE,18896276,0
636,"2023-12-30 05:23:09.221","2023-12-30 05:23:09.221","Exclude Tokens In Nouns Treasury From Quorum","I want to suggest that we exclude any stuck Lil Nouns tokens from the quorum calculation.","I suggest excluding stuck Lil Nouns tokens in the Nouns treasury from the quorum calculation.

As long as these tokens are inactive in the Nouns treasury, they must be excluded from the total supply.

However, that should be fine if they delegate tokens to another address other than the treasury for actively participating in Lil Nouns DAO governance.

As long as those tokens are in treasury and not delegated to any other address, they can't participate in our governance even if they want.
","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7182,FALSE,18896236,0
635,"2023-12-30 05:07:05.241","2023-12-30 05:07:05.241","Reduce Lil Nounders Reward to 2.5% from 10%","From the original Lil Nounders (adelidusiam, 0xsvg,  Jacob.eth, Blequity), only `0xsvg` is semi-available. ","Among the founding members, AKA the Lil Nounders, that once included `adelidusiam`, `0xsvg`, `Jacob.eth`, and `Blequity`, only `0xsvg` remains and is partially involved. 

It seems the others have gradually drifted away from the project, their initial enthusiasm waning as other commitments took precedence. 

Also, any additional work undertaken by the Lil Nounders after the founding project was compensated at a premium rate. 

This shift in team dynamics and the increased financial burden have made me question the viability of persisting with the project on a mere 10 percent commitment for vesting token allocation. ","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7182,FALSE,18896157,0
