"id","wallet","ens","legacyTokenCount"
1,"0x20DB1720c4D6f7A850a21aE9173d0B9E0e7b04E4",,0
2,"0xc94DD5cAa29fb3681f08594668DB10bdb1eBf316",,0
3,"0x1341df844780b66AF4ccC98Ae0F34be87eABe1d5",,0
21,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9",,0
22,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63",,0
23,"0x3E7691154F84FB0991c6A731878880f6eeC24b14",,0
24,"0x9d4162CA2f01583E2f34cB594E8Cf198ACe99dd3",,0
25,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9",,0
26,"0x1e66a3D0a6A327b1F29e8ACf3a3d9E1E4E088683",,0
27,"0x1db19B9903c5510AA5a866ea643Eb021CD12Bda0",,0
28,"0xAEC4075e4fc8cE829BC4f0cFD5e2fA10dd2b12D1",,0
29,"0x008c84421dA5527F462886cEc43D2717B686A7e4",,0
296,"0xAcb55BbF310C89670564f4cd9D12eaFB6F84788A",,1
297,"0x34217dAd60fc18c991Cf40032197eb28aDBca7Fb",,1
298,"0x9239b0284c45398e6b48d4DA7d9570Ca65133d19",,1
299,"0x1d14d9e297DfbcE003f5A8EbcF8cBa7fAEe70B91",,7
300,"0x2E2F6db34fFC3c7C99371886AB3410F8431f8691",,3
301,"0x6980826F2989783ffEe9176b381aa1Cc36FD0f57",,1
302,"0x174d123cE1EF00EEBF1026fbF061a7a58A928Def",,14
303,"0x94CA777cB86d006360FF9bE0661fF112cc3fD945",,1
304,"0x625D6405DCac9C82F4b681A131d9182115448F75",,1
305,"0x8F4C87E30371Ee250C5ECa1fCFf33F534F2ece4a",,5
306,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183",,37
307,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2",,1
308,"0x565B93a15d38aCD79c120b15432D21E21eD274d6",,9
309,"0x8d028DC71B347268d439432349B55Bc27989851E",,6
310,"0x00b0Be47fB30cc2497A3EE4160f113f35C456c6F",,1
311,"0x711E207B2fa8daceBb4D7cb9E4b0f77D98FAfA22",,1
312,"0x172F19C6066441f6806556FCF5a97B1a86042bE2",,1
313,"0x5090c4Fead5Be112b643BC75d61bF42339675448",,1
314,"0x3CEb1AE4796f6A9BcD825841a6C86e1cE17B46A4",,1
315,"0xd6CB70a88bB0D8fB1be377bD3E48e603528AdB54",,2
316,"0x6cC34D9Fb4AE289256fc1896308D387Aee2bCc52",,1
317,"0x840b490438d9cA67A3daD2Cc9EC678232f19cd29",,24
318,"0x8216D02B21710a47367F0548bF68D86cC71d0b67",,44
319,"0x0Ff4bCaF4D736EDB8EBa11dD66A4921e9f8b8B50",,4
320,"0x6C4cb3C4Da1CdC4B7B1F41099F6eacbd82D8F2d2",,1
321,"0xf48b52e054466CfD6956E90FC28E1925a64ADb07",,1
322,"0x4ae3c7e27e858C02a465f9F653254568d4BF3e9e",,2
323,"0xC06250B7ef8ab88Dc281b82db94C0fFf5bADd863",,10
324,"0xa31B444F2CFd111d16D61335247E66Bc491c9039",,1
325,"0x99350e5ebB73569B6fC37a2d68a78B88691A75C6",,1
326,"0x3B60e31CFC48a9074CD5bEbb26C9EAa77650a43F",,7
327,"0x6fD948ee06EbFBA2775841621CbcCD0C338dB7aD",,3
328,"0x13eEf4EF8FCa471f242ab0F8F49A3dB6017aDA33",,3
329,"0x39D2A54da38d9AB8b57b4914fF684691B93d9eB0",,5
330,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9",,2
331,"0x50002a9B8E9938d509DE84DC3eB3aaBFBEc1451e",,5
332,"0xE85621Ca863cD77400E0D14Ec1d9ed91352BB716",,1
333,"0xe05cb1A2CD350906F32B3635613Ecf9D6A17B96b",,1
334,"0xEFCBdc96bFBa90c2406b805b665Ba89e8A8dEdd8",,1
335,"0x67691771270F0199BfE54a00F8343d15aFc5b872",,1
336,"0x8e777369b4Bd6fbbF20270dC8c599Ea11d919505",,2
337,"0x126D2cEbD1ff6da07ccBC905fd6e0ee97ca265Ad",,1
338,"0xA09B19F875bE395f789Bd6cFa36031f78CbF44c7",,2
339,"0x47559Ae0A0C0c344F09CcdD52f93a3987409f3bB",,3
340,"0x3B3e64FA62d3F22b25144c780135f4241457f568",,1
341,"0x568b9bFfF4a3a7C7351db84EC2F4Ad4CA147A1D0",,1
342,"0x84956992e2380Df6D6faAD7E115db932D48EE841",,1
343,"0xbAE49fe607bdDb4cB4C946C47CCFcc71c83e4893",,13
344,"0xa47f60564085b8792BaE197BE7762C7f7930eC67",,9
345,"0x8a49240B6a8C8c0570E59A58482380EB323Bc7Bd",,1
346,"0x755bf4014D228dFeCCb3c39Db5F51A85C5Bb69a2",,1
347,"0xD8C74902076a815A3D543688f9030037F2a494d8",,1
348,"0x888d35cDA7a2E5DF438B75b89e567C6aC6D36Ab9",,1
349,"0xF7128274D8Ec9D25694E34912beAB3d4B2F50130",,4
350,"0x73496Bc1708B16d16a5C11bAb356817954dF2b05",,1
351,"0xD2035514E8d8389E2d8Ac80113467a3FF1E01D08",,1
352,"0x151E5ade1573Cbd54a6CC4312A5e63733a1DdE35",,1
353,"0x9df412A54229E902401fe8Afc0207cD7DDBCd1B6",,1
354,"0xd40B63bF04a44e43fBFE5784bCf22ACaAB34a180",,1
355,"0xc3633a552065A80b0123717D2e75DdB7D7cBDA16",,1
356,"0xB52235DC0751ce6E171C51fbF459fd6637c6ccc8",,5
357,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6",,3
358,"0x8e71C9644898665a91E4dB3Dee8bDde97b3C71BC",,117
359,"0xC3FdAdbAe46798CD8762185A09C5b672A7aA36Bb",,1
360,"0x2F8ab52fC3b40cef63CCC25f96D2DCF6b7A2B735",,53
361,"0xa1a2359BB1C51c4b30d787a3bF76A6819E3Ee083",,5
362,"0x4303Ddc9943D862f2B205aF468a4A786c5137E76",,1
363,"0x17A059B6B0C8af433032d554B0392995155452E6",,2
364,"0x027F56aD81459aF9fBF01DB41FbbF03E5Dd5bC30",,1
365,"0xCDbb7F31349a483a47585486c162A12d349036a6",,1
366,"0x14fC0bE8e90aB768226cCCf952506Ce00Bde5029",,24
367,"0xfE9D3B6F60F5cA2c76b4B682E497cF04E26E7257",,3
368,"0xbC7f0883B4dd822C06E2dB8458D57aF624814D31",,32
369,"0xA697AEdF5af55fd7a3D75122fAa8fFC57e84261C",,1
370,"0x6a024f521f83906671e1a23a8B6c560be7e980F4",,1
371,"0x34C3A5ea06a3A67229fb21a7043243B0eB3e853f",,1
372,"0x6ab075abfA7cdD7B19FA83663b1f2a83e4A957e3",,19
373,"0xaA1c29505160181e493f4B373f0c3206cc2a32a3",,1
374,"0xCEEd9585854F12F81A0103861b83b995A64AD915",,7
375,"0x8C868aB6EA5aA8BF37F58376f0A61c3728aEf904",,32
376,"0x4241B875D35D9990d29a8F8DCCAf88Bad8D46c24",,8
377,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",,1
378,"0x6B6c1cc61b21eA4D54AaD6fC8c8fc84b50031F48",,1
379,"0x72dabD33fe53f28FaAc3C804A562A2e3EC96573D",,2
380,"0xf9d71b5fB8345F2508C1302a74d4362DEAb7D104",,15
381,"0x298b25385E67B471faa64CB1CA17F31684016629",,6
382,"0x86461c46d6955128EfdA424DcBb590Cd3F8E1A18",,1
383,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,12
384,"0x2D9Bb0CA565AE83B93737e4f2D9aCC0d2ae21055",,1
385,"0x70eCe45cDc64A768f936Ccb8aC851578251363e3",,20
386,"0x635Bed3F8b7d8C25305CEa707FF7149D6f2A61f9",,19
387,"0xDb792E5160b281bB299dFf461502D5200b7Bcf33",,3
388,"0x510E74e9Cdc8Dd5627D652a26E49480A81264ED5",,1
389,"0x57f6ee7CB947bae939a9ecc766a55B6F143322f7",,1
390,"0x6632a2549A4922607287828D3B37435c1Fa98c58",,1
391,"0x0C1CA53324a9B43E5468664562db592Ca6ef6efA",,1
392,"0x9655667Ca1203E9A2c8ea2Ed59558F9AD0ACCc87",,49
393,"0x5ce561e048d2cd64523D6316228F97bd2537F92f",,1
394,"0x14190083645Da88B847813581E009a505aB0518d",,2
395,"0xcEb78aBFad166C11e350156fd671b385265a6C87",,4
396,"0x9D0A3e2b1669b9D272dB2800DD55418837f21645",,1
397,"0x366c0ae1eDBE7c648Bb63fC343910B4e54eE5F87",,2
398,"0xC88563855A54b4A735137Cc7d6926B28fA778C0e",,1
399,"0x9b0286bd7A989c5bF6fA05E4e178Cf485D69ffe9",,1
400,"0xadb8182f9b01b235C78A4c2dC344C9966C458d97",,1
401,"0x47663EC63B94Cfda4b15c8AA5d229e7fFE6c1e58",,1
402,"0x05e189E1BbaF77f1654F0983872fd938AE592eDD",,9
403,"0x36A5Bc205DF1ED65C86301022cfc343a6ce546ff",,64
404,"0xB213Fee1170c70C8fB44A1d3dc49c183F357E577",,1
