"id","direction","ideaId","voterId","createdAt","updatedAt","voterWeight"
1,1,575,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2023-09-10 14:10:01.619","2023-09-10 14:10:07.277",1
2,1,573,"0x66cd193d0C0Fb3B9b44Dd371107617A7e9f38184","2023-09-10 17:10:53.591","2023-09-10 17:10:53.591",1
3,1,573,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2023-09-11 14:30:16.896","2023-09-11 14:30:16.896",1
4,1,575,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2023-09-11 14:42:31.512","2023-09-11 14:42:31.512",6
5,1,1,"0xc94DD5cAa29fb3681f08594668DB10bdb1eBf316","2023-09-11 19:00:39.497","2023-09-11 19:00:39.497",1
6,1,2,"0xc94DD5cAa29fb3681f08594668DB10bdb1eBf316","2023-09-11 19:00:49.884","2023-09-11 19:00:49.884",1
7,1,1,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-09-11 19:04:24.345","2023-09-11 19:04:24.345",57
8,1,1,"0xae4705dC0816ee6d8a13F1C72780Ec5021915Fed","2023-09-11 19:13:00.976","2023-09-11 19:13:00.976",8
9,1,3,"0xc94DD5cAa29fb3681f08594668DB10bdb1eBf316","2023-09-11 19:42:28.847","2023-09-11 19:42:28.847",1
10,1,3,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-09-11 19:46:21.856","2023-09-11 19:46:21.856",57
11,1,3,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2023-09-11 21:29:04.615","2023-09-11 21:29:04.615",1
12,1,575,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-09-12 01:34:32.923","2023-09-12 01:34:32.923",57
13,1,4,"0xDb5Dd352527539b7C3382Bd4B5693E116D09fb9B","2023-09-12 15:45:11.457","2023-09-12 15:45:11.457",8
14,1,4,"0xc94DD5cAa29fb3681f08594668DB10bdb1eBf316","2023-09-12 15:45:50.948","2023-09-12 15:45:51.993",1
15,1,4,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-09-12 21:13:11.142","2023-09-12 21:13:11.142",57
16,1,5,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2023-09-15 17:14:59.72","2023-09-15 17:14:59.72",3
17,1,6,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2023-09-15 17:20:05.039","2023-09-15 17:20:05.039",3
18,1,7,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2023-09-15 17:20:51.016","2023-09-15 17:20:51.016",3
19,-1,7,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-09-15 17:29:57.422","2023-09-15 17:29:57.422",57
20,1,6,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-09-15 17:31:00.444","2023-09-15 17:31:34.015",57
21,-1,5,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-09-15 17:31:56.927","2023-09-15 17:31:56.927",57
22,-1,7,"0x1341df844780b66AF4ccC98Ae0F34be87eABe1d5","2023-09-16 16:01:10.252","2023-09-16 16:01:10.252",2
23,1,6,"0x1341df844780b66AF4ccC98Ae0F34be87eABe1d5","2023-09-16 16:02:29.641","2023-09-16 16:02:29.641",2
24,-1,7,"0xae4705dC0816ee6d8a13F1C72780Ec5021915Fed","2023-09-16 17:30:05.26","2023-09-16 17:30:05.26",8
25,1,6,"0xae4705dC0816ee6d8a13F1C72780Ec5021915Fed","2023-09-16 17:30:13.688","2023-09-16 17:30:13.688",8
26,-1,5,"0xae4705dC0816ee6d8a13F1C72780Ec5021915Fed","2023-09-16 17:30:18.464","2023-09-16 17:30:18.464",8
27,1,8,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2023-09-17 10:56:05.231","2023-09-17 10:56:05.231",5
28,1,9,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2023-09-17 10:56:09.891","2023-09-17 10:56:09.891",5
29,1,10,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2023-09-17 10:56:15.052","2023-09-17 10:56:15.052",5
30,-1,7,"0xa47f60564085b8792BaE197BE7762C7f7930eC67","2023-09-18 12:46:06.015","2023-09-18 12:46:06.015",2
201,1,12,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2023-02-22 08:44:40.437","2023-02-22 08:44:56.376",2
202,1,13,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2023-02-22 23:23:02.162","2023-02-24 19:37:38.135",2
203,1,13,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2023-02-25 00:18:02.474","2023-02-25 00:18:02.474",6
204,1,13,"0x3E7691154F84FB0991c6A731878880f6eeC24b14","2023-02-25 01:44:17.661","2023-02-25 03:56:35.942",676
205,1,14,"0x3E7691154F84FB0991c6A731878880f6eeC24b14","2023-02-25 01:50:54.924","2023-02-25 01:53:11.985",678
206,1,15,"0x3E7691154F84FB0991c6A731878880f6eeC24b14","2023-02-25 03:04:22.879","2023-02-25 03:56:17.671",678
207,1,15,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2023-02-25 08:13:20.514","2023-02-26 14:09:58.714",1
208,1,16,"0x9d4162CA2f01583E2f34cB594E8Cf198ACe99dd3","2023-02-26 16:27:24.019","2023-02-26 16:27:24.019",1
209,1,17,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2023-02-26 19:20:40.949","2023-02-26 19:20:40.949",1
210,1,18,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2023-03-01 15:00:25.368","2023-03-01 15:00:25.368",7
211,1,18,"0x1e66a3D0a6A327b1F29e8ACf3a3d9E1E4E088683","2023-03-01 15:41:06.002","2023-03-01 15:41:12.997",2
212,1,18,"0x1db19B9903c5510AA5a866ea643Eb021CD12Bda0","2023-03-01 18:07:49.717","2023-03-01 18:07:49.867",1
213,1,18,"0xAEC4075e4fc8cE829BC4f0cFD5e2fA10dd2b12D1","2023-03-01 18:10:49.59","2023-03-01 18:10:55.005",2
214,1,18,"0x008c84421dA5527F462886cEc43D2717B686A7e4","2023-03-01 18:41:40.195","2023-03-01 18:41:40.195",36
3626,1,346,"0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",1
3627,1,347,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",237
3628,1,349,"0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",1
3629,1,355,"0xDb5Dd352527539b7C3382Bd4B5693E116D09fb9B","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",8
3630,-1,350,"0x5606B493c51316A9e65c9b2A00BbF7Ff92515A3E","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",428
3631,-1,351,"0xdcf37d8Aa17142f053AAA7dc56025aB00D897a19","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",28
3632,1,352,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",237
3633,1,353,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",237
3634,1,355,"0x9c57027B1eca93093a6F446422C59C85A5A3Fa52","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",1
3635,1,352,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",37
3636,1,350,"0xa47f60564085b8792BaE197BE7762C7f7930eC67","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",9
3637,1,351,"0x073f0DC58e9989C827bA5b7b35570B7315652e63","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",9
3638,1,353,"0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",1
3639,1,348,"0x888d35cDA7a2E5DF438B75b89e567C6aC6D36Ab9","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",1
3640,1,355,"0x4A9a40b2c44B7D32EcF4E0cC66f5304518eC0A59","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",1
3641,1,351,"0x5606B493c51316A9e65c9b2A00BbF7Ff92515A3E","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",428
3642,1,352,"0x7b53D4AA8726d528D520B9fD8a34297850B041d0","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",8
3643,1,354,"0xa47f60564085b8792BaE197BE7762C7f7930eC67","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",9
3644,1,350,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",37
3645,1,348,"0xdcf37d8Aa17142f053AAA7dc56025aB00D897a19","2023-05-13 23:59:05.5","2023-05-13 23:59:05.5",28
