"A","B"
12,3
13,2
13,3
14,3
14,5
17,3
346,6
348,6
354,1
354,6
356,2
358,6
357,1
359,4
360,3
365,1
365,5
368,1
368,5
366,6
364,3
371,1
371,3
371,4
363,3
363,5
367,3
374,3
374,5
375,3
377,3
378,3
380,1
380,2
383,3
381,1
381,3
381,5
382,1
382,2
384,6
386,6
387,6
385,3
385,4
385,5
388,4
390,3
390,4
389,6
397,6
395,1
395,2
395,3
395,4
395,5
395,6
396,6
398,1
398,2
398,5
399,4
402,3
402,4
403,6
404,6
406,1
406,5
408,6
409,6
410,3
411,6
414,6
415,6
420,4
417,5
423,3
423,5
428,3
429,6
427,2
427,5
430,4
440,3
440,4
527,1
527,2
527,3
529,1
529,5
543,3
546,4
546,6
547,1
547,4
548,1
548,4
549,4
550,1
551,1
551,4
552,1
552,3
553,1
554,1
554,4
556,4
558,1
558,4
560,1
560,5
562,1
562,2
562,3
562,5
564,3
567,2
568,4
569,4
570,2
572,6
573,1
573,6
1,1
2,1
3,1
4,6
5,4
6,4
7,3
7,4
8,3
9,3
9,5
10,3
10,5
577,6
578,6
582,5
583,5
584,3
584,6
586,6
587,4
590,1
591,1
592,1
594,4
597,1
597,3
597,4
597,5
597,6
598,1
598,3
598,4
598,5
600,1
600,2
600,3
600,4
600,5
600,6
601,1
601,3
601,4
601,5
602,3
602,4
602,5
603,3
603,4
603,5
603,6
604,1
604,3
604,4
604,5
606,3
607,1
607,3
607,5
608,1
608,2
608,3
608,5
609,3
609,4
609,5
610,1
610,3
610,5
610,6
611,1
611,3
611,5
611,6
612,1
612,3
612,4
613,1
613,3
613,4
613,5
613,6
615,6
616,6
617,3
617,4
617,5
618,1
618,3
618,5
619,3
620,2
620,3
620,5
621,2
622,1
622,3
622,5
625,3
626,6
627,3
627,5
628,3
628,5
629,3
629,5
632,2
632,3
632,5
633,1
633,2
633,3
633,4
633,5
634,1
634,2
634,3
634,4
634,5
635,1
635,3
635,5
636,1
636,2
636,3
636,4
636,5
637,1
637,2
637,3
637,4
637,5
638,2
638,3
638,5
642,4
642,5
643,3
644,4
