"id","body","ideaId","authorId","createdAt","updatedAt","parentId","deleted"
6,"Testing the response feature. This is fun, but wish we could format text a bit more ... thanks to everyone in advance for the support! ",12,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2022-08-02 14:41:19.295","2022-08-02 14:41:19.296",,FALSE
7,"I'm confused, when i tested this, my hot wallet was voting with getTotalVotes and now its voting with # of lilnouns in my wallet",9,"0x840b490438d9cA67A3daD2Cc9EC678232f19cd29","2022-08-02 15:50:56.534","2022-08-02 15:50:56.534",,FALSE
8,"I'm down to keep helping out!",7,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-02 15:58:11.736","2022-08-02 15:58:11.736",,FALSE
9,"Also happy to continue helping build this",7,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2022-08-02 16:42:54.462","2022-08-02 16:42:54.463",,FALSE
10,"I’m already talking to her about this, but would love to be funded to help aubtoshi with her premium swag designs and next-level attention grabbing outfits for her/our activators OTG at events. Would be cool to have a fund for swag that could be shipped to people ahead of events so they can make sure it works/fits with their wardrobe plans. Also could be great to add to this fund people who are doing any kind of nounish presentation around the globe- we give them access to items they can order to wear around the events. (Sorry to hijack this idea about aubtoshi/NOTG specifically)",11,"0x298b25385E67B471faa64CB1CA17F31684016629","2022-08-02 17:03:37.914","2022-08-02 17:03:37.914",,FALSE
11,"Test",7,"0xB52235DC0751ce6E171C51fbF459fd6637c6ccc8","2022-08-02 20:43:31.491","2022-08-02 20:43:31.491",,FALSE
12,"hey",7,"0x8d028DC71B347268d439432349B55Bc27989851E","2022-08-02 22:05:57.524","2022-08-02 22:05:57.525",11,FALSE
13,"I really like this idea and the structure and ritual it would bring to the dao",13,"0x174d123cE1EF00EEBF1026fbF061a7a58A928Def","2022-08-02 22:52:15.729","2022-08-02 22:52:15.73",,FALSE
14,"thanks! yeah this can be a weekly ritual with an accompanying twitter space as we count down to voting going live, where anyone can chat about their proposal",13,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-02 22:59:27.826","2022-08-02 22:59:27.827",13,FALSE
15,"I like this",13,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2022-08-02 23:00:03.032","2022-08-02 23:00:03.033",,FALSE
16,"Great idea! As someone who got a shot at a nounish community even while being priced out of OG Nouns I can appreciate taking this a step further. Also, the 101 art looks great. I'm a dev, I want to collab.",12,"0x6a024f521f83906671e1a23a8B6c560be7e980F4","2022-08-02 23:01:42.542","2022-08-02 23:01:42.542",,FALSE
17,"this is a neat idea. what are some examples of animated svgs that you were thinking of? i personally am into the on chain flowers [Flowers by onChainCo - Collection | OpenSea](https://opensea.io/collection/flowersonchain?search%5BsortBy%5D=UNIT_PRICE&search%5BsortAscending%5D=true&search%5BstringTraits%5D%5B0%5D%5Bname%5D=Petal%20Style&search%5BstringTraits%5D%5B0%5D%5Bvalues%5D%5B0%5D=Ethereum&search%5BstringTraits%5D%5B1%5D%5Bname%5D=Spin&search%5BstringTraits%5D%5B1%5D%5Bvalues%5D%5B0%5D=True)",5,"0x174d123cE1EF00EEBF1026fbF061a7a58A928Def","2022-08-02 23:03:12.912","2022-08-02 23:03:12.913",,FALSE
18,"Would like to hear more about what the purpose of the OG nounga, would help understand how this would be valuable",6,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-02 23:06:30.601","2022-08-02 23:06:30.601",,FALSE
19,"I personally am not in favor of this. It sounds good on paper, but hypothetically if i post a prop on like sunday, and vote would start on tuesday, now we make that queue wait 6 full days before the vote can start so it can start on monday? I think this would kill a lot of time. We also cannot force Nouns DAO votes to end on the same day, so voters will still need to be engaged frequently anyways because they won't change their cadience. ",13,"0x840b490438d9cA67A3daD2Cc9EC678232f19cd29","2022-08-03 00:01:11.823","2022-08-03 00:01:11.823",,FALSE
20,"I think you're using one specific example to bring down the whole idea itself. In your example, if the prop is posted on Sunday, and the vote begins on mondays, then voting begins the next day. But lets use the example that a prop is put on chain on tuesday, this would mean that it will have to wait 6 days. What you are not accounting for is the behaviour change that a mechanism like this would introduce. Meaning, if people know props go live Mondays, then that extra time will likely be taken to refine and put the prop on chain on the weekend. Conversely, this will actually speed up some props, given that they wont need to wait 2 full days to go live, if they submit before a deadline on Sunday. ",13,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-03 00:13:24.754","2022-08-03 00:13:24.754",19,FALSE
21,"congrats on the launch. You love to see it ❤️",7,"0xd6CB70a88bB0D8fB1be377bD3E48e603528AdB54","2022-08-03 00:15:39.269","2022-08-03 00:15:39.269",,FALSE
22,"Great idea. If I know I can come in on the same day every week and vote and never miss anything it would help a lot.",13,"0xEFCBdc96bFBa90c2406b805b665Ba89e8A8dEdd8","2022-08-03 00:41:40.226","2022-08-03 00:41:40.227",,FALSE
23,"If we removed the two day cooldown that could help. Also, what are your thoughts on not removing two day cooldown, but making all votes start on Mondays or Thursdays? I think this could be a good balance to instill the behavior change you’re looking for with predictable voting start times but also remove my concern of a prop getting stuck in a pre-voting state for too long? ",13,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-08-03 01:50:12.75","2022-08-03 01:50:12.75",20,FALSE
24,"im daon to help",7,"0x47559Ae0A0C0c344F09CcdD52f93a3987409f3bB","2022-08-03 04:27:30.174","2022-08-03 04:27:30.175",,FALSE
25,"I haven't voted yet on this, mostly because I don't know if snapshot will get us the best outcome either. but I agree that we need a group decision (kinda) this comment is also simply to test a comment without vting",15,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-03 13:08:23.003","2022-08-03 13:08:23.003",,FALSE
26,"I agree with Atereh. I think we could help create buzz arund props that are up this way as well. as there is a specific time focus and energy focus. Much o the issues of voter fatigue are lack of process IMO Solving 1 problem shuldnt be frgotten because it also doesnt solve all issues. ALSO Im more concerned about Lil nOuns than Nouns. they ging to do just fine. ",13,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-03 13:38:27.356","2022-08-03 13:38:27.356",19,FALSE
27,"I will fully do this. as I have already started some databases on my own. just looking for the spot to put it all. I suppose lking into tenr and how to activate is a god start! ",14,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-03 13:47:23.237","2022-08-03 13:47:23.237",,FALSE
28,"I personally like the idea and think it can feed into real life activations... like a trance when the nounga song gets played and all lils line up! ",6,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-03 13:48:31.363","2022-08-03 13:48:31.364",,FALSE
29,"its whimsical i like whimsical. ",6,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-03 13:48:47.935","2022-08-03 13:48:47.936",28,FALSE
30,"Removing the 2 days is a good bet if we decide to do this. Not opposed to having two days per week for pros but I do think having a weekly ritual is a powerful thing. If we do find that doing once per week is slowing down the DAO, we can also always add the second date- Core thing here being, lets confirm that the once a day increases engagement and slow the DAO down before we make too many changes at once.",13,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-03 16:23:35.649","2022-08-03 16:23:35.65",23,FALSE
31,"Thank you for the support Volky! Looking forward to meeting and aligning with everyone on this over the next few weeks!v ",12,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2022-08-03 16:59:30.392","2022-08-03 16:59:30.392",16,FALSE
