"id","createdAt","updatedAt","title","tldr","description","creatorId","votecount","tokenSupplyOnCreate","deleted"
180,"2023-05-07 07:11:23.978","2023-05-07 07:11:23.978","Nounish Animations for Kids on YouTube Channel.","Nounish Animations for Kids on YouTube Channel.","Description:  We propose to create a YouTube channel that features Nounish musical animations for kids. Through musical animations about colors, the alphabet, numbers, shapes, and such, the channel will be a source of entertainment and also education for kids and will provide an opportunity for parents to introduce their children to the concept of Nouns.  Please review the complete proposal and provide me with feedback. Your thoughts and suggestions are greatly appreciated.👇  https://hackmd.io/fvUTwNEuTyWkl4Nf0s77sw?both","0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8",238,7064,FALSE
179,"2023-05-07 07:09:00.137","2023-05-07 07:09:21.276","Nounish Animations for Kids on YouTube Channel.","Nounish Animations for Kids on YouTube Channel.","Description:  We propose to create a YouTube channel that features Nounish musical animations for kids. Through musical animations about colors, the alphabet, numbers, shapes, and such, the channel will be a source of entertainment and also education for kids and will provide an opportunity for parents to introduce their children to the concept of Nouns.","0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8",1,7064,TRUE
178,"2023-05-07 07:08:16.692","2023-05-07 07:08:30.966","Nounish Animations for Kids on YouTube Channel.","Nounish Animations for Kids on YouTube Channel.","Description:  We propose to create a YouTube channel that features Nounish musical animations for kids. Through musical animations about colors, the alphabet, numbers, shapes, and such, the channel will be a source of entertainment and also education for kids and will provide an opportunity for parents to introduce their children to the concept of Nouns.  https://hackmd.io/fvUTwNEuTyWkl4Nf0s77sw?both","0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8",1,7064,TRUE
177,"2023-04-30 00:11:45.183","2023-04-30 14:36:07.598","Send lilpandawtf.eth to the jungle as a nouner","Send lilpandawtf.eth to the jungle as a nouner","lilpandawtf.eth requests access to represent noun 677 (pirate ship) in the jungle as a nouner  lilpandawtf.eth is on an adventure with indexcard.eth to go onchain at nouns via proposal 116. To set off on this adventure, lilpanda requests that he be formally designated as one of lilnouns ""nouner"" representatives in the jungle  - this designation can be revoked at any time - there will be no change to custody or delegation of any of our nouns","0x7b53D4AA8726d528D520B9fD8a34297850B041d0",310,7052,TRUE
176,"2023-04-25 14:32:17.425","2023-04-25 14:32:17.425","Rocket Pool x Nouns","Rocket Pool is currently the most decentralized staking solution available for Ethereum. Staking a portion of the Nouns treasury with Rocket Pool instead of Lido reduces risk to the Nouns treasury and promotes network decentralization.","See full prop here: https://hackmd.io/@LookingForOwls/rJSbT0GXh  ### Rocket Pool Rocket Pool is a trustless, permissionless, and battle-tested staking service. With over 2000 node operators running over 17000 validators, it sets the gold standard for liquid staking.  Over 500,000 ETH is currently staked with Rocket Pool, making it the third-largest TVL after Lido and Coinbase among liquid staking providers.   ![](https://i.imgur.com/61PNDST.png) ###### Source [ethereum.org](https://ethereum.org/en/staking/pools/)  --- ### rETH rETH is Rocket Pool's liquid staked ETH token (LSD) and offers compelling advantages over many alternatives.  # Due to proplot character limit, see rest of prop here: https://hackmd.io/zDYYhVXuRc2x9LuTiGBe3A?both","0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3",332,7042,FALSE
175,"2023-04-25 14:27:57.164","2023-04-25 14:28:58.92","Rocket Pool x Nouns","Rocket Pool is currently the most decentralized staking solution available for Ethereum. Staking a portion of the Nouns treasury with Rocket Pool instead of Lido reduces risk to the Nouns treasury and promotes network decentralization.","### Rocket Pool Rocket Pool is a trustless, permissionless, and battle-tested staking service. With over 2000 node operators running over 17000 validators, it sets the gold standard for liquid staking.  Over 500,000 ETH is currently staked with Rocket Pool, making it the third-largest TVL after Lido and Coinbase among liquid staking providers.   ![](https://i.imgur.com/61PNDST.png) ###### Source [ethereum.org](https://ethereum.org/en/staking/pools/)  --- ### rETH rETH is Rocket Pool's liquid staked ETH token (LSD) and offers compelling advantages over many alternatives.  #### Insurance rETH has best-in-class resistance to black swan events, such as a massive slashing resulting from client bugs.   If a slashing event were to occur, funds are first deducted from the following sources before impacting rETH holders: 1. Node operators' ETH Share(~185k ETH) 2. Node operators' RPL Bonds(~200k ETH)  In contrast, Lido's insurance fund only has around 6k stETH total, which (A) is stETH-denominated itself and (B) services 25 times more TVL.  #### Peg Performance  rETH has sh","0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3",265,7042,TRUE
174,"2023-04-12 22:23:24.327","2023-04-12 22:23:24.327","NounsDAO Prop: 100E for Subdao focused prop.house","Nouns proposal: 100 ETH for prop house round focused on subdao proliferation and building.","Let's write a prop for a 100 ETH for prop house round focused on subdao proliferation and building and bring it forward to NounsDAO.","0xFC538FFD2923ddDaED09c8aD1a51686275C56183",296,7023,FALSE
173,"2023-04-11 12:52:01.301","2023-04-11 12:52:01.301","Get our noun holdings to 21","I think Lil Nouns holding 1/4 to 1/3 of quorum is ideal. it requires keeping up with pace ... 2 every 100 days?  ","**RAISE AUTOBIDDER STOP to 27 ETH**  **FUND AUTOBIDDER with another 135 ETH**","0x2eE0485f71764bcD2062A84d9455688c581B90f8",672,7022,FALSE
172,"2023-04-10 16:21:05.311","2023-04-10 16:21:05.311","A Lil Nounish Clean Up : Kigali, Rwanda for 3.5ETH","Requesting for 3.5 ETH Grant to do ""Keep Your City Clean - Lil Nounish Clean Up"" Activity in Kayonza, Kigali, Rwanda on May, 27th 2023."," ## Nouns DAO Africa & Lil Nouns to continue to ""Keep Your City Clean - Bulungi Bwansi, Harambee, Umuganda"" ---     ### What? 15-25 Person team : 1 day/ Weekend cleanup ->  Lil Nouns Branded Tshirts, Noggles.    Conclude the day with a Food/ Pizza party In Kayonza, Kigali, Rwanda (1 Hr Drive from Capital City of Rwanda)   ### Completion Date?  27th, May 2023.    Proliferate Nouns Rwanda & get  participants to sign up for LilNouns News Letter + Lil Nouns POAP + teach to mint 1 [bit nouns](https://www.bitnouns.wtf/)  **Cost Breakdown** 40 Pairs : Noggles ( [Big Shot Toyworks](https://bigshottoyshop.com/collections/nouns))  - *1 ETH (Shipping + Taxes Incl.*)   Boots, Rakes, Spades, Hoes, Re-usable Trashbags - 0.5 ETH   Photo/Film Crew - 0.5 ETH   30 Saftey Masks - 0.1 ETH   Nounish Reflectors - 0.1 ETH   Pizza Party->Local Restaurant - 0.3 ETH   NDAF Transportation + Accommodation (UG + KE members only) - 1 ETH    **Team**: @davinoyesigye   @quetalive   @cn47006   @nicholasmbyemi1    https://hackmd.io/@GnarlyChef/LilNounsCleanUp","0x2eE0485f71764bcD2062A84d9455688c581B90f8",-106,7021,FALSE
171,"2023-04-05 18:36:54.15","2023-04-05 18:36:54.15"," “a GM a day for the next 100 days”","My proposal is to enhance the Nouns' auction by creating a unique GM animation every day for the Noun that has been minted on that day's auction.","My idea is to create a new GM animation every day specifically for the Nouns that have been minted on that day’s auction, in order to make the auction livelier. By making a daily contribution, we can improve the quality of our service and encourage more engagement within the auction.   I would greatly appreciate it if you could take the time to review my proposal.  https://discourse.nouns.wtf/t/a-gm-a-day-for-the-next-100-days/4192/1 👈  Thanks!","0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8",-228,7006,FALSE
