"id","direction","ideaId","voterId","createdAt","updatedAt"
51,1,9,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-02 15:57:44.151","2022-08-02 15:57:47.67"
52,1,7,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63","2022-08-02 15:57:59.971","2022-08-02 15:57:59.972"
68,-1,10,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-02 21:49:09.726","2022-08-02 21:49:09.727"
69,-1,6,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-02 21:49:10.688","2022-08-02 21:49:10.689"
29,1,9,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2022-08-02 13:33:33.141","2022-08-02 13:39:29.662"
71,-1,13,"0xbAE49fe607bdDb4cB4C946C47CCFcc71c83e4893","2022-08-02 22:03:27.468","2022-08-02 22:03:27.468"
27,-1,5,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-02 13:33:13.501","2022-08-04 03:37:53.637"
72,-1,10,"0xbAE49fe607bdDb4cB4C946C47CCFcc71c83e4893","2022-08-02 22:03:49.835","2022-08-02 22:03:49.835"
31,1,10,"0x2E2F6db34fFC3c7C99371886AB3410F8431f8691","2022-08-02 13:38:31.371","2022-08-02 13:40:09.506"
19,1,7,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-02 13:01:09.502","2022-08-27 04:52:09.032"
78,1,13,"0x174d123cE1EF00EEBF1026fbF061a7a58A928Def","2022-08-02 22:51:34.106","2022-08-02 22:51:34.106"
18,1,9,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-02 12:54:42.371","2022-08-08 04:55:11.857"
33,-1,6,"0x2E2F6db34fFC3c7C99371886AB3410F8431f8691","2022-08-02 13:40:01.303","2022-08-02 13:40:21.416"
34,-1,6,"0x6a024f521f83906671e1a23a8B6c560be7e980F4","2022-08-02 14:07:02.467","2022-08-02 14:07:02.468"
35,1,11,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-02 14:13:30.545","2022-08-02 14:13:30.546"
10,1,5,"0xC3FdAdbAe46798CD8762185A09C5b672A7aA36Bb","2022-08-02 05:44:32.751","2022-08-02 05:44:32.751"
12,1,6,"0x00b0Be47fB30cc2497A3EE4160f113f35C456c6F","2022-08-02 10:03:51.251","2022-08-02 10:03:51.251"
13,1,7,"0x565B93a15d38aCD79c120b15432D21E21eD274d6","2022-08-02 11:53:13.314","2022-08-02 11:53:13.314"
15,-1,5,"0x6a024f521f83906671e1a23a8B6c560be7e980F4","2022-08-02 12:35:19.955","2022-08-02 12:35:19.956"
16,1,7,"0x6a024f521f83906671e1a23a8B6c560be7e980F4","2022-08-02 12:36:01.746","2022-08-02 12:36:01.747"
17,1,8,"0x6a024f521f83906671e1a23a8B6c560be7e980F4","2022-08-02 12:47:57.537","2022-08-02 12:47:57.537"
28,1,6,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-02 13:33:15.9","2022-08-02 14:13:53.277"
76,1,11,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-02 22:46:47.059","2022-08-03 18:37:58.756"
20,1,9,"0x6a024f521f83906671e1a23a8B6c560be7e980F4","2022-08-02 13:23:28.674","2022-08-02 13:23:28.675"
36,1,9,"0x1d14d9e297DfbcE003f5A8EbcF8cBa7fAEe70B91","2022-08-02 14:23:04.976","2022-08-02 14:23:04.977"
37,-1,6,"0x1d14d9e297DfbcE003f5A8EbcF8cBa7fAEe70B91","2022-08-02 14:23:42.325","2022-08-02 14:23:42.325"
38,1,8,"0x625D6405DCac9C82F4b681A131d9182115448F75","2022-08-02 14:29:24.162","2022-08-02 14:29:24.162"
39,1,7,"0x625D6405DCac9C82F4b681A131d9182115448F75","2022-08-02 14:29:49.739","2022-08-02 14:29:49.74"
74,-1,8,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9","2022-08-02 22:46:36.391","2022-08-02 22:46:36.392"
21,1,9,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2022-08-02 13:30:25.351","2022-08-02 13:30:25.352"
22,1,6,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2022-08-02 13:30:59.617","2022-08-02 13:30:59.618"
23,1,5,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2022-08-02 13:31:06.354","2022-08-02 13:31:06.354"
24,1,8,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183","2022-08-02 13:31:10.675","2022-08-02 13:31:10.675"
40,1,9,"0x635Bed3F8b7d8C25305CEa707FF7149D6f2A61f9","2022-08-02 14:30:44.546","2022-08-02 14:30:47.709"
41,1,7,"0x635Bed3F8b7d8C25305CEa707FF7149D6f2A61f9","2022-08-02 14:30:54.46","2022-08-02 14:30:54.46"
